sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
15768,384485,Crossodactylus dantei,Murici Spinythumb Frog/Rãnzinha-de-riacho,Anfíbios,Em Perigo (EN),Estação Ecológica de Murici,0000.00.0059
15769,384483,Crossodactylus lutzorum,Lutz's Spinythumb Frog,Anfíbios,Criticamente em Perigo (CR),,
14804,2024105,Cryptops iporangensis,Centopeia/Lacraia,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,
14806,2024106,Cryptops spelaeoraptor,Centopeia/Centopeia./Lacraia,Invertebrados Terrestres,Vulnerável (VU),,
24542,2026044,Crypturellus noctivagus noctivagus,Tinamú Patigualdo/Yellow-legged Tinamou/jaó-do-sul,Aves,Vulnerável (VU),Parque Nacional do Catimbau/Reserva Biológica de Sooretama/Reserva Biológica de Una/Floresta Nacional de Pacotuba/Estação Ecológica de Tamoios/Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/Área de Proteção Ambiental de Petrópolis/Parque Nacional do Superagui/Área de Proteção Ambiental de Guaraqueçaba/PARQUE ESTADUAL DO RIO DOCE/ESTAÇÃO ECOLÓGICA DE ACAUÃ/ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS/PARQUE ESTADUAL CARLOS BOTELHO/RESERVA BIOLOGICA ESTADUAL DO SASSAFRAS/PARQUE ESTADUAL DA SERRA DO MAR/PARQUE ESTADUAL  DA ILHA DO CARDOSO/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA/PARQUE ESTADUAL INTERVALES,0000.00.01700000.00.02010000.00.02020000.00.01010000.00.00630000.00.00140000.00.00100000.00.01780000.00.0017
12187,2026045,Crypturellus noctivagus zabele,Yellow-Legged-Tinamou/jaó/zabelé/zabelê,Aves,Vulnerável (VU),Parque Nacional da Serra da Capivara/Parque Nacional Serra das Confusões/Estação Ecológica Raso da Catarina/Floresta Nacional do Araripe-Apodi/Área de Proteção Ambiental Chapada do Araripe/Parque Nacional do Catimbau/Reserva Biológica Guaribas/Parque Nacional de Boa Nova/Floresta Nacional de Contendas do Sincorá/Parque Nacional da Chapada Diamantina/Parque Nacional Cavernas do Peruaçu/Área de Proteção Ambiental Cavernas do Peruaçu/ESTAÇÃO ECOLÓGICA DE ACAUÃ/PARQUE ESTADUAL MATA SECA,0000.00.01450000.00.01460000.00.00740000.00.01150000.00.00080000.00.01700000.00.01960000.00.19080000.00.00810000.00.01370000.00.01350000.00.0002
23242,2026128,Ctenomys bicolor,Rato-paca/Tuco-tuco,Mamíferos,Em Perigo (EN),,
23243,17558,Ctenomys flamarioni,Tuco-tuco/Tuco-tuco of the Dunes,Mamíferos,Em Perigo (EN),Estação Ecológica do Taim/Parque Nacional da Lagoa do Peixe,0000.00.00700000.00.0140
23245,2023619,Ctenomys lami,Tuco-tuco,Mamíferos,Em Perigo (EN),,
23246,1715352,Ctenomys minutus,Tiny Tuco-tuco/Tuco-tuco/Tuco-tuco pequeno,Mamíferos,Vulnerável (VU),Área de Proteção Ambiental da Baleia Franca,0000.00.0006
33862,2025053,Cunizza hirlanda fulvinota,Borboleta,Invertebrados Terrestres,Vulnerável (VU),,
33864,2025055,Cunizza hirlanda planasia,Borboleta,Invertebrados Terrestres,Vulnerável (VU),Área de Proteção Ambiental do Planalto Central/Parque Nacional de Brasília/Área de Proteção Ambiental do Morro da Pedreira/APA DO LAGO PARANOÁ/ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO/PARQUE ESTADUAL DOS PIRINEUS/ESTAÇÃO ECOLÓGICA DE ÁGUAS EMENDADAS/APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO,0000.00.00230000.00.01590000.00.0027
14810,2025847,Cyanocorax hafferi,Campina Jay/Chara de la Campina/cancão-da-campina,Aves,Vulnerável (VU),Floresta Nacional do Iquiri/Parque Nacional Mapinguari/Reserva Extrativista Ituxi/Reserva Extrativista Lago do Cuniã,0000.00.16120000.00.16330000.00.16280000.00.0233
12162,11403,Cyanopsitta spixii,Ararinha-Azul/Guacamayo de Spix/Spix`s Macaw/arara-azul-de-spix/ararinha-azul,Aves,Criticamente em Perigo (CR),,
15770,1069737,Cycloramphus diringshofeni,Rã-de-cachoeira/São Bento Button Frog,Anfíbios,Criticamente em Perigo (CR),,
21816,1835430,Cycloramphus faustoi,,Anfíbios,Criticamente em Perigo (CR),Área de Proteção Ambiental da Serra da Mantiqueira/Refúgio de Vida Silvestre do Arquipélago de Alcatrazes,0000.00.00110000.00.3432
21819,1069741,Cycloramphus ohausi,Wandolleck's Button Frog,Anfíbios,Em Perigo (EN),Área de Proteção Ambiental de Petrópolis,0000.00.0010
24909,400387,Cynolebias griseus,Peixe das nuvens/Peixe-das-nuvens/annual fish/killifish/pearl fish/peixe anual/peixe-anual,Peixes Continentais,Criticamente em Perigo (CR),ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,
24911,400382,Cynolebias leptocephalus,Peixe anual,Peixes Continentais,Criticamente em Perigo (CR),,
24918,1015545,Cynopoecilus fulgens,Peixe-anual,Peixes Continentais,Vulnerável (VU),Parque Nacional da Lagoa do Peixe/PARQUE ESTADUAL DE ITAPEVA/ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,0000.00.0140
24919,1015546,Cynopoecilus intimus,Peixe-anual,Peixes Continentais,Vulnerável (VU),,
24921,1015548,Cynopoecilus multipapillatus,Peixe-anual,Peixes Continentais,Vulnerável (VU),,
34216,2023314,Dactyloa nasofrontalis,calanguinho/papa-vento,Répteis,Vulnerável (VU),Reserva Biológica de Augusto Ruschi,0000.00.0191
34217,2023316,Dactyloa pseudotigrina,calanguinho/papa-vento,Répteis,Vulnerável (VU),Reserva Biológica de Augusto Ruschi,0000.00.0191
33866,643900,Dasyophthalma geraensis,Borboleta,Invertebrados Terrestres,Criticamente em Perigo (CR),Parque Nacional do Itatiaia/Área de Proteção Ambiental da Serra da Mantiqueira/PARQUE ESTADUAL DE CAMPOS DO JORDÃO,0000.00.01840000.00.0011
4935,2026689,Dasyophthalma rusina,Borboleta,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL DO RIO DOCE/PARQUE NATURAL MUNICIPAL DO TRABIJU/PARQUE ESTADUAL DA SERRA DO MAR,
33867,643897,Dasyophthalma vertebralis,Borboleta,Invertebrados Terrestres,Criticamente em Perigo (CR),Reserva Biológica de Sooretama,0000.00.0201
18670,866990,Delturus parahybae,Cascudo/Cascudo-lage,Peixes Continentais,Criticamente em Perigo (CR),,
20893,2025855,Dendrexetastes rufigula paraensis,arapaçu-canela-de-belém,Aves,Em Perigo (EN),Reserva Biológica do Gurupi,0000.00.0207
20894,2025856,Dendrocincla merula badia,arapaçu-da-taoca,Aves,Vulnerável (VU),Reserva Biológica do Gurupi,0000.00.0207
24543,2025857,Dendrocincla taunayi,Pernambuco Woodcreeper/arapaçu-pardo-do-nordeste,Aves,Em Perigo (EN),Estação Ecológica de Murici/Reserva Biológica de Pedra Talhada/NGI ICMBIO COSTA DOS CORAIS,0000.00.00590000.00.0197
22254,2025859,Dendrocolaptes medius,Todd`s Woodcreeper/arapaçu-barrado-do-leste,Aves,Vulnerável (VU),Reserva Biológica do Gurupi/Reserva Extrativista de Cururupu/Estação Ecológica de Murici/Floresta Nacional do Jamanxim/Floresta Nacional de Tapajós/PARQUE ESTADUAL DO UTINGA/ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,0000.00.02070000.00.02790000.00.00590000.00.02660000.00.0123
20897,2025860,Dendrocolaptes picumnus transfasciatus,Arapaçu-meio-barrado,Aves,Vulnerável (VU),,
22255,2025862,Dendrocolaptes retentus,Xingu Woodcreeper/arapaçu-barrado-do-xingu,Aves,Vulnerável (VU),Floresta Nacional de Carajás/Floresta Nacional de Caxiuanã/Floresta Nacional de Tapirape-Aquiri,0000.00.00880000.00.00890000.00.0124
12567,11602,Dermochelys coriacea,Careba-gigante/Careba-mole/Tartaruga-de-cerro/Tartaruga-de-couro/Tartaruga-de-leste/Tartaruga-de-quilha/Tartaruga-gigante/Tartaruga-preta/Tartaruga-sete-quilhas,Invertebrados Terrestres,Criticamente em Perigo (CR),Reserva Biológica de Comboios,0000.00.0195
26188,2024906,Diaphoromyrma sofiae,formiga,Invertebrados Terrestres,Em Perigo (EN),Parque Nacional do Pau Brasil/Floresta Nacional de Goytacazes,0000.00.01760000.00.0091
34464,1896881,Diapoma pyrrhopteryx,Lambari,Peixes Continentais,Em Perigo (EN),,
36414,237521,Dichotomius eucranioides,besouro-rola-bosta,Invertebrados Terrestres,Em Perigo (EN),,
36416,1907375,Dichotomius mysticus,besouro-rola-bosta,Invertebrados Terrestres,Em Perigo (EN),,
36418,1319776,Dichotomius schiffleri,besouro-rola-bosta,Invertebrados Terrestres,Em Perigo (EN),,
26189,446417,Dinoponera lucida,formiga,Invertebrados Terrestres,Em Perigo (EN),Parque Nacional do Monte Pascoal/Parque Nacional do Pau Brasil/Reserva Biológica de Sooretama/Floresta Nacional de Goytacazes/Floresta Nacional de Pacotuba/PARQUE ESTADUAL DA FONTE GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA,0000.00.01820000.00.01760000.00.02010000.00.00910000.00.0101
28126,1319809,Diomedea dabbenena,Albatros de Tristán de Acuña/Tristan Albatross/albatroz-de-tristão,Aves,Criticamente em Perigo (CR),,
28123,11615,Diomedea epomophora,Albatros real meridional/Royal Albatross/Southern Royal Albatross/albatroz-real,Aves,Vulnerável (VU),Estação Ecológica do Taim/Reserva Biológica Marinha do Arvoredo/Refúgio de Vida Silvestre do Arquipélago de Alcatrazes,0000.00.00700000.00.02140000.00.3432
28125,11613,Diomedea exulans,Albatros Viajero/Wandering Albatross/albatroz-errante/albatroz-gigante,Aves,Criticamente em Perigo (CR),Estação Ecológica do Taim,0000.00.0070
28124,1319957,Diomedea sanfordi,Albatros real septentrional/Northern Royal Albatross/albatroz-real-do-norte,Aves,Em Perigo (EN),,
37303,383847,Diopatra cuprea,,Invertebrados Marinhos,Vulnerável (VU),Parque Nacional da Serra da Bocaina/Área de Proteção Ambiental de Cairuçu/PARQUE ESTADUAL DA SERRA DO MAR,0000.00.01420000.00.0013
32019,2024132,Dioplosternus salvatrix,Piolho-de-cobra,Invertebrados Terrestres,Vulnerável (VU),,
30131,2026211,Diplodon koseritzi,Marisco de água doce/marisco do junco,Invertebrados Terrestres,Em Perigo (EN),,
36098,307552,Dirphia monticola,Mariposa,,Vulnerável (VU),Parque Nacional do Itatiaia,0000.00.0184
24544,2025813,Discosura langsdorffi langsdorffi,Black-bellied Thorntail/Rabo-de-espinho/Rabudito Ventrinegro/rabo-de-espinho,Aves,Em Perigo (EN),Parque Nacional da Serra das Lontras/Reserva Biológica de Augusto Ruschi/Parque Nacional da Tijuca/Parque Nacional do Caparaó,0000.00.19090000.00.01910000.00.01540000.00.0160
25553,1516527,Ditaxodon taeniatus,Hensel's Snake/parelheira-listrada-do-campo,Répteis,Vulnerável (VU),ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/APA CAMPOS DO JORDÃO,
34098,2301752,Dolichothele diamantinensis,Aranha/Aranha-caranguejeira/tarântula,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL BIRIBIRI,
25701,1161311,Doxocopa zalmunna,Borboleta,Invertebrados Terrestres,Criticamente em Perigo (CR),,
33876,1319777,Drephalys miersi,Borboleta/Diabinha,Invertebrados Terrestres,Em Perigo (EN),ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA,
33877,1319778,Drephalys mourei,Borboleta/Diabinha,Invertebrados Terrestres,Criticamente em Perigo (CR),,
34060,1376106,Drymusa spelunca,Aranha/Falsa-aranha-violino,Invertebrados Terrestres,Criticamente em Perigo (CR),Floresta Nacional de Carajás,0000.00.0088
24546,7137,Dysithamnus plumbeus,Batarito plomizo/Choquinha-chumbo/Plumbeous Antvireo/choquinha-chumbo,Aves,Em Perigo (EN),Reserva Biológica de Augusto Ruschi/Reserva Biológica de Sooretama/Floresta Nacional de Pacotuba/PARQUE ESTADUAL DO RIO DOCE/PARQUE ESTADUAL CAMINHO DOS GERAIS/PARQUE ESTADUAL DO PANTANAL DO RIO NEGRO,0000.00.01910000.00.02010000.00.0101
25554,1825843,Echinanthera cephalomaculata,,Répteis,Vulnerável (VU),Reserva Biológica de Pedra Talhada,0000.00.0197
13107,527648,Eigenmannia vicentespelaea,Ituí,Peixes Continentais,Vulnerável (VU),PARQUE ESTADUAL DE TERRA RONCA,
28658,866535,Elacatinus figaro,néon,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental da Costa dos Corais/Parque Nacional Marinho dos Abrolhos/Reserva Extrativista do Corumbau/Reserva Extrativista de Cassurubá/Estação Ecológica de Tamoios/Estação Ecológica de Tupinambás/Estação Ecológica dos Tupiniquins/Monumento Natural Arquipélago das Ilhas Cagarras/Reserva Extrativista Arraial do Cabo/Área de Proteção Ambiental de Cairuçu/Reserva Biológica Marinha do Arvoredo/Área de Proteção Ambiental de Guaraqueçaba/Refúgio de Vida Silvestre do Arquipélago de Alcatrazes/PARQUE ESTADUAL DA ILHA GRANDE/ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL/PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA/ABROLHOS/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ESTADUAL PONTA DO TUBARÃO/ARIE DE SÃO SEBASTIãO/PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMAÇÃO DOS BÚZIOS/PARQUE ESTADUAL MARINHO DA PEDRA DA RISCA DO MEIO/APA MARINHA DO LITORAL CENTRO/APA MARINHA DO LITORAL NORTE/ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS/PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUíS/PARQUE ESTADUAL DA ILHA ANCHIETA/PARQUE ESTADUAL DA COSTA DO SOL,0000.00.00090000.00.01850000.00.02520000.00.18080000.00.00630000.00.00640000.00.00710000.00.00340000.00.02510000.00.00130000.00.02140000.00.00170000.00.3432
24547,7145,Elaenia ridleyana,Fiofío de Noronha/Noronha Elaenia/cocoruta,Aves,Vulnerável (VU),Parque Nacional Marinho de Fernando de Noronha/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo,0000.00.01860000.00.0015
30372,184785,Elasmothemis schubarti,Libélula,Invertebrados de Água Doce,Em Perigo (EN),,
24549,2022980,Eleoscytalopus psychopompus,Bahia Tapaculo/Churrín de Bahía/macuquinho-baiano,Aves,Em Perigo (EN),,
37927,176021,Enneanectes smithi,,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Área de Proteção Ambiental do Arquipelago Sao Pedro e Sao Paulo/Monumento Natural do Arquipelago Sao Pedro e Sao Paulo,0000.00.00150000.00.36430000.00.3644
34218,1518921,Enyalius erythroceneus,papa-vento-da-chapada,Répteis,Criticamente em Perigo (CR),,
24354,2027545,Epinephelus itajara,Guato/Jewfish/Goliath grouper/Mero/Merote/Bodete/Badejão/bodete/mero/merote,Peixes Marinhos,Criticamente em Perigo (CR),Reserva Extrativista Mãe Grande de Curuçá/Reserva Extrativista Marinha de Caeté-Taperaçu/Área de Proteção Ambiental Delta do Parnaíba/Parque Nacional Marinho de Fernando de Noronha/Reserva Biológica do Atol das Rocas/Área de Proteção Ambiental da Barra do Rio Mamanguape/Reserva Extrativista Acaú-Goiana/Área de Proteção Ambiental da Costa dos Corais/Parque Nacional Marinho dos Abrolhos/Reserva Extrativista do Corumbau/Reserva Extrativista de Canavieiras/Estação Ecológica de Tupinambás/Monumento Natural Arquipélago das Ilhas Cagarras/Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/Reserva Biológica Marinha do Arvoredo/Área de Proteção Ambiental do Arquipelago São Pedro e São Paulo/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU/PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA/ABROLHOS/ÁREA DE PROTEÇÃO AMBIENTAL DAS REENTRÂNCIAS MARANHENSES/PARQUE ESTADUAL MARINHO DA PEDRA DA RISCA DO MEIO/ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS/APA MARINHA DO LITORAL NORTE/ÁREA DE PROTEÇÃO AMBIENTAL DO CATOLÉ E FERNÃO VELHO/ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE/PARQUE ESTADUAL ACARAI/PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUíS/ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS,0000.00.02430000.00.02480000.00.00190000.00.01860000.00.02030000.00.00070000.00.15630000.00.00090000.00.01850000.00.02520000.00.02530000.00.00640000.00.00340000.00.00140000.00.02140000.00.3643
24355,2027535,Epinephelus marginatus,Dusky grouper/Garoupa verdadeira/Escorrega/Garopeta/Mero moreno/garoupa verdadeira,Peixes Marinhos,Vulnerável (VU),Estação Ecológica de Tamoios/Monumento Natural Arquipélago das Ilhas Cagarras/Área de Proteção Ambiental de Cairuçu/Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/Parque Nacional da Lagoa do Peixe/Reserva Biológica Marinha do Arvoredo/Parque Nacional Marinho das Ilhas dos Currais/ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS/ARIE DE SãO SEBASTIãO/APA MARINHA DO LITORAL NORTE/ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO AVENTUREIRO,0000.00.00630000.00.00340000.00.00130000.00.00140000.00.01400000.00.02140000.00.2874
24356,2027536,Epinephelus morio,garoupa-são-tomé,Peixes Marinhos,Vulnerável (VU),Área de Proteção Ambiental Delta do Parnaíba/Parque Nacional Marinho de Fernando de Noronha/Área de Proteção Ambiental de Fernando de Noronha - Rocas - São Pedro e São Paulo/Parque Nacional Marinho dos Abrolhos/Reserva Extrativista do Corumbau/Estação Ecológica de Tupinambás/Monumento Natural Arquipélago das Ilhas Cagarras/Reserva Extrativista Arraial do Cabo/Reserva Biológica Marinha do Arvoredo/Parque Nacional Marinho das Ilhas dos Currais/PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS/RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL PIRAQUE-AÇÚ E PIRAQUE-MIRIM/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA/ABROLHOS/ARIE DE SãO SEBASTIÃO/APA MARINHA DO LITORAL NORTE/ÁREA DE PROTEÇÃO AMBIENTAL CONCEIÇÃO DA BARRA/PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUíS/PARQUE ESTADUAL DA SERRA DO MAR,0000.00.00190000.00.01860000.00.00150000.00.01850000.00.02520000.00.00640000.00.00340000.00.02510000.00.02140000.00.2874
31971,2026420,Epiperipatus adenocryptus,Onicóforo,Invertebrados Terrestres,Criticamente em Perigo (CR),,
31974,2026422,Epiperipatus diadenoproctus,Onicóforo,Invertebrados Terrestres,Vulnerável (VU),,
31977,2026424,Epiperipatus ohausi,Onicóforo,Invertebrados Terrestres,Em Perigo (EN),Área de Proteção Ambiental de Petrópolis/ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU,0000.00.0010
31978,2026425,Epiperipatus paurognostus,Onicóforo,Invertebrados Terrestres,Criticamente em Perigo (CR),,
33884,314191,Episcada vitrea,Asas de vidro/Borboleta,Invertebrados Terrestres,Em Perigo (EN),Parque Nacional da Serra dos Órgãos/Parque Nacional do Caparaó/PARQUE ESTADUAL DO FORNO GRANDE,0000.00.01520000.00.0160
20437,2023609,Eptesicus taddeii,,Mamíferos,Vulnerável (VU),ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/PARQUE ESTADUAL  DA ILHA DO CARDOSO,
33887,2024968,Eresia erysice erysice,Borboleta,Invertebrados Terrestres,Criticamente em Perigo (CR),,
12568,11816,Eretmochelys imbricata,Tartaruga Legítima/Tartaruga de escamas/Tartaruga verdadeira/Tartaruga-de-pente,Invertebrados Terrestres,Criticamente em Perigo (CR),Parque Nacional Marinho de Fernando de Noronha/Reserva Biológica de Santa Isabel,0000.00.01860000.00.0199
14484,11885,Eubalaena australis,Baleia-franca/Baleia-franca-austral/Baleia-franca-do-sul/Baleine Australe/Ballena Franca Austral/Southern Right Whale,Mamíferos Aquáticos,Em Perigo (EN),Parque Nacional Marinho dos Abrolhos/Área de Proteção Ambiental da Baleia Franca/Refúgio de Vida Silvestre Ilha dos Lobos/Reserva Extrativista Marinha Pirajubaé/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS/PARQUE ESTADUAL DA SERRA DO TABULEIRO,0000.00.01850000.00.00060000.00.01900000.00.0255
13811,2024067,Eukoenenia maquinensis,Palpígrado/microwhip scorpion/palpígrado,Invertebrados Terrestres,Criticamente em Perigo (CR),MONUMENTO NATURAL ESTADUAL PETER LUND,
34063,2024068,Eukoenenia potiguar,microwhip scorpion/palpígrado,Invertebrados Terrestres,Vulnerável (VU),,
13813,2024069,Eukoenenia sagarana,Microwhip scorpion/Palpígrado/microwhip scorpion/palpígrado,Invertebrados Terrestres,Criticamente em Perigo (CR),,
13814,2024070,Eukoenenia spelunca,Palpígrado/microwhip scorpion/palpígrado,Invertebrados Terrestres,Criticamente em Perigo (CR),,
13815,2024071,Eukoenenia virgemdalapa,Microwhip scorpion/Palpígrado/microwhip scorpion/palpígrado,Invertebrados Terrestres,Em Perigo (EN),,
37304,1608969,Eunice sebastiani,,Invertebrados Marinhos,Em Perigo (EN),,
14213,2027713,Euptychia boulleti,Borboleta,Invertebrados Terrestres,Criticamente em Perigo (CR),Parque Nacional do Itatiaia/Área de Proteção Ambiental de Petrópolis/ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU,0000.00.01840000.00.0010
34219,1251313,Eurolophosaurus amathites,,Répteis,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA,
23283,2023707,Euryoryzomys lamia,Buffy-sided Rice Rat/Monster Rice Rat/Rato-do-mato,Mamíferos,Em Perigo (EN),Parque Nacional da Chapada dos Veadeiros/ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.0139
13816,2024057,Eusarcus elinae,Aranha-bode/Aranha-fedorenta/Opilião/aranha-bode/aranha-fedorenta/opilião,Invertebrados Terrestres,Em Perigo (EN),ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,
10431,2026284,Eustrombus goliath,búzio-de-aba/búzio-de-chapéu/goliath conch/orelha-de-elefante,Invertebrados Marinhos,Vulnerável (VU),Parque Nacional Marinho dos Abrolhos,0000.00.0185
10404,515843,Euvola ziczac,vieira,Invertebrados Marinhos,Em Perigo (EN),APA MARINHA DO LITORAL NORTE/ESTAÇÃO ECOLÓGICA DA ILHA DO MEL,
33838,1319782,Fimoscolex sporadochaetus,Minhoca-branca,Invertebrados Terrestres,Em Perigo (EN),PARQUE ESTADUAL DO ITACOLOMI,
30977,2025127,Fluminagrion taxaense,Libélula,Invertebrados de Água Doce,Criticamente em Perigo (CR),,
9882,2027566,Fontitrygon colarensis,Raia/arraia-branca/arraia-branca-bicuda,Peixes Marinhos,Vulnerável (VU),Reserva Extrativista Marinha de Caeté-Taperaçu/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,0000.00.0248
24653,2300480,Formicivora acutirostris,Hormiguerito del Paraná/Parana Antwren/bicudinho-do-brejo,Aves,Em Perigo (EN),Parque Nacional Saint-Hilaire/Lange/Área de Proteção Ambiental de Guaraqueçaba/PARQUE ESTADUAL DO RIO DA ONÇA/ESTAÇÃO ECOLÓGICA DO GUARAGUAÇU/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,0000.00.01640000.00.0017
24627,7190,Formicivora erythronotos,Black-hooded Antwren/Hormiguerito Encapuchado/formigueiro-de-cabeça-negra,Aves,Criticamente em Perigo (CR),Estação Ecológica de Tamoios/Parque Nacional da Serra da Bocaina,0000.00.00630000.00.0142
12169,2022992,Formicivora grantsaui,Hormiguerito de Sincorá/Papa-Formiga-Do-Sincorá/Sincora Antwren/papa-formiga-do-sincorá,Aves,Em Perigo (EN),Parque Nacional da Chapada Diamantina,0000.00.0137
24641,7191,Formicivora littoralis,Hormiguerito Litoral/Restinga Antwren/formigueiro-do-litoral,Aves,Em Perigo (EN),Reserva Extrativista Arraial do Cabo/ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL/ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA/PARQUE ESTADUAL DA COSTA DO SOL/ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA,0000.00.0251
24628,2025941,Formicivora paludicola,Hormiguerito paludícola/São Paulo Marsh Antwren/bicudinho-do-brejo-paulista,Aves,Criticamente em Perigo (CR),,
29833,12127,Fregata minor,Great Frigatebird/Lesser Frigatebird/Pacific Frigatebird/Rabihorcado Grande/tesourão-grande,Aves,Criticamente em Perigo (CR),Monumento Natural do Arquipelago de Trindade e Martim Vaz e Monte Columbia,0000.00.3642
29831,2301555,Fregata trinitatis,Least Frigatebird/Lesser Frigatebird/Rabihorcado Chico/tesourão-pequeno,Aves,Criticamente em Perigo (CR),Monumento Natural do Arquipelago de Trindade e Martim Vaz e Monte Columbia,0000.00.3642
26251,2301448,Fulakora cleae,formiga,Invertebrados Terrestres,Criticamente em Perigo (CR),,
20447,17649,Furipterus horrens,,Mamíferos,Vulnerável (VU),Floresta Nacional de Carajás/Parque Nacional de Ubajara/Parque Nacional Serra das Confusões/Floresta Nacional de Rio Preto/Área de Proteção Ambiental de Cairuçu/Área de Proteção Ambiental das Nascentes do Rio Vermelho/Área de Proteção Ambiental do Planalto Central/Floresta Nacional de Tapajós/Parque Nacional da Furna Feia/Parque Nacional dos Campos Ferruginosos/APA QUILOMBOS DO MéDIO RIBEIRA/PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA/APA SERRA DO MAR/PARQUE ESTADUAL INTERVALES,0000.00.00880000.00.01670000.00.01460000.00.01220000.00.00130000.00.00280000.00.00230000.00.01230000.00.26330000.00.3519
9403,1021048,Galeorhinus galeus,Cação-bico-doce/cação-bico-de-cristal/cação-bico-doce,Peixes Marinhos,Criticamente em Perigo (CR),Reserva Biológica Marinha do Arvoredo/Reserva Extrativista Marinha Pirajubaé,0000.00.02140000.00.0255
