sq_ficha,sq_taxon,Nome Cientifico,Nome Comum,Grupo Taxonômico,Categoria de Risco,Unidades de Conservação onde ocorrem,Código CNUC
9395,1022664,Sphyrna media,Tubarão-martelo-de-aba-curta/cação-martelo/rudela/rudela-redonda,Peixes Marinhos,Criticamente em Perigo (CR),Parque Nacional do Cabo Orange/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,0000.00.0169
9396,1011490,Sphyrna mokarran,Tubarão-martelo-grande/cambeva/panã/tubarão martelo-grande,Peixes Marinhos,Em Perigo (EN),Parque Nacional do Cabo Orange/Reserva Extrativista de Cururupu/Parque Nacional Marinho de Fernando de Noronha/Área de Proteção Ambiental da Costa dos Corais/Parque Nacional Marinho dos Abrolhos,0000.00.01690000.00.02790000.00.01860000.00.00090000.00.0185
9397,1020429,Sphyrna tiburo,Tubarão-martelo/paña/tubarão-martelo,Peixes Marinhos,Criticamente em Perigo (CR),Parque Nacional do Cabo Orange/Reserva Extrativista de Cururupu/Área de Proteção Ambiental da Costa dos Corais/Parque Nacional Marinho dos Abrolhos/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,0000.00.01690000.00.02790000.00.00090000.00.0185
9398,1011603,Sphyrna tudes,Tubarão-martelo/panã-amarela/tubarão-martelo,Peixes Marinhos,Criticamente em Perigo (CR),Parque Nacional do Cabo Orange/Parque Nacional Marinho dos Abrolhos/ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES,0000.00.01690000.00.0185
9399,1011600,Sphyrna zygaena,Tubarão-martelo-liso/cambeva/cambevota/tubarão-martelo/tubarão-martelo-liso,Peixes Marinhos,Criticamente em Perigo (CR),Parque Nacional Marinho de Fernando de Noronha/Estação Ecológica dos Tupiniquins/Área de Proteção Ambiental da Baleia Franca/Reserva Biológica Marinha do Arvoredo/APA MARINHA DO LITORAL CENTRO,0000.00.01860000.00.00710000.00.00060000.00.0214
14661,2024049,Spinopilar moria,Aranha-bode/Aranha-fedorenta/Opilião/aranha-bode/aranha-fedorenta/opilião,Invertebrados Terrestres,Criticamente em Perigo (CR),,
34863,729093,Spintherobolus ankoseion,Lambari,Peixes Continentais,Vulnerável (VU),Área de Proteção Ambiental de Guaraqueçaba/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA,0000.00.0017
18760,729368,Spintherobolus broccae,Piaba,Peixes Continentais,Em Perigo (EN),PARQUE ESTADUAL DA SERRA DO MAR,
34864,729092,Spintherobolus leptoura,Lambari,Peixes Continentais,Em Perigo (EN),Área de Proteção Ambiental de Cananéia-Iguape-Peruíbe/PARQUE ESTADUAL DA CAMPINA DO ENCANTADO/APA SERRA DO MAR,0000.00.0014
31211,729735,Spintherobolus papilliferus,Lambari,Peixes Continentais,Criticamente em Perigo (CR),PARQUE ESTADUAL DA CANTAREIRA/PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA/PARQUE ESTADUAL DA SERRA DO MAR,
20041,13972,Spinus yarrellii,Pintassilgo-Do-Nordeste/Yellow-faced Siskin,Aves,Vulnerável (VU),Parque Nacional da Serra da Capivara/Parque Nacional de Ubajara/Estação Ecológica de Murici/Estação Ecológica Raso da Catarina/Floresta Nacional do Araripe-Apodi/Área de Proteção Ambiental Chapada do Araripe/Parque Nacional do Catimbau/Reserva Biológica de Pedra Talhada/Reserva Biológica de Serra Negra/Parque Nacional da Serra de Itabaiana/Reserva Biológica de Saltinho/ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ/REFúGIO DE VIDA SILVESTRE MATAS DO SISTEMA GURJAú/ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE,0000.00.01450000.00.01670000.00.00590000.00.00740000.00.01150000.00.00080000.00.01700000.00.01970000.00.02000000.00.01470000.00.0198
14662,2026278,Spiripockia punctata,Caramujo/Caramujo-de-caverna,Invertebrados Terrestres,Em Perigo (EN),,
27827,2025987,Sporophila beltoni,Patativa-tropeira/Semillero arriero/Tropeiro Seedeater/patativa-tropeira,Aves,Vulnerável (VU),,
24801,6737,Sporophila falcirostris,Cigarra-verdadeira/Semillero picudo/Temminck's Seedeater/cigarra-verdadeira,Aves,Vulnerável (VU),,
24802,6752,Sporophila frontalis,Buffy-fronted Seedeater/Pixoxó/Semillero frentiblanco/pixoxó,Aves,Vulnerável (VU),,
28611,6744,Sporophila hypoxantha,Semillero Ventricanela/Tawny-bellied Seedeater/caboclinho-de-barriga-vermelha,Aves,Vulnerável (VU),Estação Ecológica Mico-Leão-Preto/Floresta Nacional de Três Barras/Parque Nacional de Ilha Grande/Parque Nacional de São Joaquim/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional do Pantanal Mato-grossense/Parque Nacional das Emas/Parque Nacional da Serra da Canastra/RESERVA BIOLóGICA DO SãO DONATO/PARQUE ESTADUAL DO TURVO/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA/PARQUE ESTADUAL DO IBITIRIá/ESTAÇÃO ECOLÓGICA DE ITIRAPINA/APA PIRACICABA JUQUERí-MIRIM AREA II/APA CORUMBATAí/BOTUCATU E TEJUPá PERIMETRO CORUMBATAí/ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA SERRA DA ESPERANÇA/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.00730000.00.01340000.00.01610000.00.01650000.00.00250000.00.01750000.00.01550000.00.0144
22533,1320239,Sporophila maximiliani,Great-billed Seed-Finch/Semillero de Maximilian/bicudo,Aves,Criticamente em Perigo (CR),Floresta Nacional de Tapirape-Aquiri/Parque Nacional da Serra da Capivara/Refúgio de Vida Silvestre de Boa Nova/Parque Nacional de Ilha Grande/Área de Proteção Ambiental das Ilhas e Várzeas do Rio Paraná/Parque Nacional da Chapada dos Guimarães/Parque Nacional das Emas/Parque Nacional da Chapada dos Veadeiros/Parque Nacional da Serra da Canastra/Parque Nacional Grande Sertão Veredas/Área de Proteção Ambiental do Planalto Central/Floresta Nacional de Mapiá-Inauini/Floresta Nacional do Purus/Parque Nacional da Serra do Divisor/PARQUE ESTADUAL DO RIO DOCE/ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS/ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES/ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO/PARQUE NATURAL MUNICIPAL DE JACARENEMA/ÁREA DE PROTEçãO AMBIENTAL DO MACIçO CENTRAL/ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,0000.00.01240000.00.01450000.00.19070000.00.01610000.00.00250000.00.01380000.00.01550000.00.01390000.00.01440000.00.01830000.00.00230000.00.01260000.00.01210000.00.0149
